id,initial_charge,output_targets,neuron_type,rules
56,0,"[4428, -4427, 4402, -4401, -5104, 5103, -5078, 5077, -5780, -5779, 5754, 5753, 6456, 6455, -6430, -6429, -7132, 7131, 7106, -7105, 7808, -7807, -7782, 7781]",0,"[0,1,1,1,0]"
57,0,"[4429, -4428, 4403, -4402, -5105, 5104, -5079, 5078, -5781, -5780, 5755, 5754, 6457, 6456, -6431, -6430, -7133, 7132, 7107, -7106, 7809, -7808, -7783, 7782]",0,"[0,1,1,1,0]"
58,0,"[4430, -4429, 4404, -4403, -5106, 5105, -5080, 5079, -5782, -5781, 5756, 5755, 6458, 6457, -6432, -6431, -7134, 7133, 7108, -7107, 7810, -7809, -7784, 7783]",0,"[0,1,1,1,0]"
59,0,"[4431, -4430, 4405, -4404, -5107, 5106, -5081, 5080, -5783, -5782, 5757, 5756, 6459, 6458, -6433, -6432, -7135, 7134, 7109, -7108, 7811, -7810, -7785, 7784]",0,"[0,1,1,1,0]"
60,0,"[4432, -4431, 4406, -4405, -5108, 5107, -5082, 5081, -5784, -5783, 5758, 5757, 6460, 6459, -6434, -6433, -7136, 7135, 7110, -7109, 7812, -7811, -7786, 7785]",0,"[0,1,1,1,0]"
61,0,"[4433, -4432, 4407, -4406, -5109, 5108, -5083, 5082, -5785, -5784, 5759, 5758, 6461, 6460, -6435, -6434, -7137, 7136, 7111, -7110, 7813, -7812, -7787, 7786]",0,"[0,1,1,1,0]"
62,0,"[4434, -4433, 4408, -4407, -5110, 5109, -5084, 5083, -5786, -5785, 5760, 5759, 6462, 6461, -6436, -6435, -7138, 7137, 7112, -7111, 7814, -7813, -7788, 7787]",0,"[0,1,1,1,0]"
63,0,"[4435, -4434, 4409, -4408, -5111, 5110, -5085, 5084, -5787, -5786, 5761, 5760, 6463, 6462, -6437, -6436, -7139, 7138, 7113, -7112, 7815, -7814, -7789, 7788]",0,"[0,1,1,1,0]"
64,0,"[4436, -4435, 4410, -4409, -5112, 5111, -5086, 5085, -5788, -5787, 5762, 5761, 6464, 6463, -6438, -6437, -7140, 7139, 7114, -7113, 7816, -7815, -7790, 7789]",0,"[0,1,1,1,0]"
65,0,"[4437, -4436, 4411, -4410, -5113, 5112, -5087, 5086, -5789, -5788, 5763, 5762, 6465, 6464, -6439, -6438, -7141, 7140, 7115, -7114, 7817, -7816, -7791, 7790]",0,"[0,1,1,1,0]"
66,0,"[4438, -4437, 4412, -4411, -5114, 5113, -5088, 5087, -5790, -5789, 5764, 5763, 6466, 6465, -6440, -6439, -7142, 7141, 7116, -7115, 7818, -7817, -7792, 7791]",0,"[0,1,1,1,0]"
67,0,"[4439, -4438, 4413, -4412, -5115, 5114, -5089, 5088, -5791, -5790, 5765, 5764, 6467, 6466, -6441, -6440, -7143, 7142, 7117, -7116, 7819, -7818, -7793, 7792]",0,"[0,1,1,1,0]"
