timestamp,params,metrics
2026-03-09 17:00:50,"{""train size"": 1000, ""test size"": 500, ""q range"": 5, ""svm c"": 1.0, ""quantize method"": 3, ""alpha method"": 1, ""discretize method"": 2, ""discretization range"": 4, ""matrix sparsity"": 0.5, ""matrix positive"": 0.25, ""matrix threshold"": 0.5, ""database"": ""bloodmnist"", ""kernel number"": 8}","{""SVM accuracy"": 0.478, ""LR accuracy"": 0.502, ""time"": 116.2097020149231}"
2026-03-09 17:02:46,"{""train size"": 1000, ""test size"": 500, ""q range"": 5, ""svm c"": 1.0, ""quantize method"": 3, ""alpha method"": 2, ""discretize method"": 2, ""discretization range"": 2, ""matrix sparsity"": 0.5, ""matrix positive"": 0.25, ""matrix threshold"": 0.5, ""database"": ""bloodmnist"", ""kernel number"": 8}","{""SVM accuracy"": 0.448, ""LR accuracy"": 0.496, ""time"": 115.52058601379395}"
2026-03-09 17:04:39,"{""train size"": 1000, ""test size"": 500, ""q range"": 5, ""svm c"": 1.0, ""quantize method"": 3, ""alpha method"": 2, ""discretize method"": 2, ""discretization range"": 5, ""matrix sparsity"": 0.5, ""matrix positive"": 0.25, ""matrix threshold"": 0.5, ""database"": ""bloodmnist"", ""kernel number"": 8}","{""SVM accuracy"": 0.47, ""LR accuracy"": 0.496, ""time"": 113.61565947532654}"
2026-03-09 17:13:30,"{""train size"": 1000, ""test size"": 500, ""q range"": 5, ""svm c"": 0.1, ""quantize method"": 3, ""alpha method"": 1, ""discretize method"": 1, ""discretization range"": 2, ""matrix sparsity"": 0.5, ""matrix positive"": 0.25, ""matrix threshold"": 0.5, ""database"": ""bloodmnist"", ""kernel number"": 8}","{""SVM accuracy"": 0.474, ""LR accuracy"": 0.51, ""time"": 166.14965724945068}"
2026-03-09 17:15:49,"{""train size"": 1000, ""test size"": 500, ""q range"": 5, ""svm c"": 0.3, ""quantize method"": 3, ""alpha method"": 1, ""discretize method"": 1, ""discretization range"": 2, ""matrix sparsity"": 0.5, ""matrix positive"": 0.25, ""matrix threshold"": 0.5, ""database"": ""bloodmnist"", ""kernel number"": 8}","{""SVM accuracy"": 0.48, ""LR accuracy"": 0.51, ""time"": 139.1438171863556}"
2026-03-09 17:18:01,"{""train size"": 1000, ""test size"": 500, ""q range"": 5, ""svm c"": 1.0, ""quantize method"": 3, ""alpha method"": 1, ""discretize method"": 1, ""discretization range"": 2, ""matrix sparsity"": 0.5, ""matrix positive"": 0.25, ""matrix threshold"": 0.5, ""database"": ""bloodmnist"", ""kernel number"": 8}","{""SVM accuracy"": 0.482, ""LR accuracy"": 0.51, ""time"": 131.90446996688843}"
2026-03-09 17:19:58,"{""train size"": 1000, ""test size"": 500, ""q range"": 5, ""svm c"": 3.0, ""quantize method"": 3, ""alpha method"": 1, ""discretize method"": 1, ""discretization range"": 2, ""matrix sparsity"": 0.5, ""matrix positive"": 0.25, ""matrix threshold"": 0.5, ""database"": ""bloodmnist"", ""kernel number"": 8}","{""SVM accuracy"": 0.482, ""LR accuracy"": 0.51, ""time"": 116.7124183177948}"
2026-03-09 17:21:53,"{""train size"": 1000, ""test size"": 500, ""q range"": 5, ""svm c"": 10.0, ""quantize method"": 3, ""alpha method"": 1, ""discretize method"": 1, ""discretization range"": 2, ""matrix sparsity"": 0.5, ""matrix positive"": 0.25, ""matrix threshold"": 0.5, ""database"": ""bloodmnist"", ""kernel number"": 8}","{""SVM accuracy"": 0.482, ""LR accuracy"": 0.51, ""time"": 115.11343288421631}"


